Symbol,Position Size
SUSHIUSDT,0.0
BTSUSDT,0.0
INJUSDT,0.0
TRXBUSD,0.0
ETHUSDT_230630,0.0
RDNTUSDT,0.0
ZRXUSDT,0.0
HIGHUSDT,0.0
WAVESUSDT,0.0
SPELLUSDT,0.0
XTZUSDT,0.0
BNBUSDT,0.0
DARUSDT,0.0
HNTUSDT,0.0
JOEUSDT,0.0
ETCUSDT,0.0
XMRUSDT,0.0
ALICEUSDT,0.0
HOOKUSDT,0.0
REEFUSDT,0.0
BATUSDT,0.0
DOGEUSDT,0.0
TRXUSDT,0.0
STORJUSDT,0.0
SNXUSDT,0.0
DOTBUSD,0.0
NEARBUSD,0.0
XLMUSDT,0.0
APEBUSD,0.0
IOTXUSDT,0.0
DASHUSDT,0.0
KAVAUSDT,0.0
RUNEUSDT,0.0
APEUSDT,0.0
BLUEBIRDUSDT,0.0
BNXUSDT,0.0
CVXBUSD,0.0
OPUSDT,0.0
DGBUSDT,0.0
SKLUSDT,0.0
FOOTBALLUSDT,0.0
TOMOUSDT,0.0
MTLUSDT,0.0
LTCUSDT,0.0
DODOBUSD,0.0
ETHBTC,0.0
KSMUSDT,0.0
WAVESBUSD,0.0
BNBBUSD,0.0
ETCBUSD,0.0
TRBUSDT,0.0
MANAUSDT,0.0
FLOWUSDT,0.0
CHRUSDT,0.0
AVAXBUSD,0.0
GALUSDT,0.0
USDCUSDT,0.0
OGNUSDT,0.0
RNDRUSDT,0.0
SCUSDT,0.0
GALBUSD,0.0
STMXUSDT,0.0
KNCUSDT,0.0
SRMUSDT,0.0
BLURUSDT,0.0
ENJUSDT,0.0
ATOMUSDT,0.0
SOLBUSD,0.0
ENSUSDT,0.0
FILBUSD,0.0
ATAUSDT,0.0
AGIXUSDT,0.0
IOSTUSDT,0.0
HBARUSDT,0.0
ZECUSDT,0.0
BTCUSDT_230630,0.0
IDEXUSDT,0.0
GALAUSDT,0.0
EDUUSDT,0.0
GTCUSDT,0.0
ALGOUSDT,0.0
LRCUSDT,0.0
AGIXBUSD,0.0
STGUSDT,0.0
STXUSDT,0.0
ARPAUSDT,0.0
CELOUSDT,0.0
PHBBUSD,0.0
QNTUSDT,0.0
1INCHUSDT,0.0
TUSDT,0.0
LINAUSDT,0.0
ARUSDT,0.0
FILUSDT,0.0
SOLUSDT,0.0
BLZUSDT,0.0
GMTUSDT,0.0
XVSUSDT,0.0
APTBUSD,0.0
GMXUSDT,0.0
LDOBUSD,0.0
BANDUSDT,0.0
LDOUSDT,0.0
XRPBUSD,0.0
XRPUSDT,0.0
FTTUSDT,0.0
CRVUSDT,0.0
BELUSDT,0.0
DOTUSDT,0.0
GMTBUSD,0.0
ONEUSDT,0.0
APTUSDT,0.0
ANKRUSDT,0.0
RAYUSDT,0.0
API3USDT,0.0
CVCUSDT,0.0
FTMBUSD,0.0
LINKBUSD,0.0
